Date,,Race,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,Win,
10/08/11,Hamilton,6,5,9,1.6,26,999,9.1,11,26.1,17,41,,,,3,
10/08/11,Shepparton,4,17,34,34.1,26,41,51,15,2.6,17.1,999,1.8,17.2,,1,
10/08/11,Shepparton,7,8,2,5,25,34,26,8.1,51,6.5,41,67,10,,2,
11/08/11,Nyah,4,4.2,10,2.7,41,26,9,25,21,17,15,3.5,,,1,
11/08/11,Nyah,6,6,25,3.7,34,4.2,6.1,7,13,7.1,17,34.1,,,5,
13/08/11,Cranbourne,5,9,26,6,11,34,1.9,11.1,5.5,26.1,26.2,,,,8,
13/08/11,Menangle,5,34,31,7,11,5,21,6,5.1,8,5.2,,,,5,
13/08/11,Menangle,7,51,21,9,21.1,31,13,1.9,2.9,21.2,,,,,3,
13/08/11,Globe Derby,5,51,6,5.5,4.8,4.81,12,16,10,5.51,21,,,,4,
13/08/11,Albion Park,5,6,11,7,8,7.1,10,6.5,31,4.8,31.1,17,,,1,
13/08/11,Albion Park,6,15,21,5.5,21.1,16,7,4,12,9,4.5,41,,,3,
13/08/11,Albion Park,7,34,3.3,34.1,9,13,17,3.31,5,11,,,,,2,
15/08/11,Cobram,5,5,2.1,7,26,21,26.1,11,25,34,26.2,8,11.1,,1,
15/08/11,Cobram,6,4.5,2.6,9,15,34,7,11,7.1,25,10,100,21,,1,
17/08/11,Terang,6,13,13.1,2.7,21,21.1,8,11,4.2,9,15,11.1,999,,1,
17/08/11,Terang,7,2.2,9,6,11,34,15,41,13,5,100,15.1,999,,9,
24/11/11,Ballarat,5,7,2.7,26,41,41.1,21,999,9,8,2.71,,,,10,
24/11/11,Cranbourne,7,2.5,15,3.7,41,9,51,11,5,7,,,,,1,
25/11/11,Melton,4,3,8,5.5,6.5,4,16,16.1,16.2,41,16.3,,,,8,
25/11/11,Geelong,5,6,4,4.2,5,16,11,13,25,13.1,10,16.1,,,1,
25/11/11,Geelong,7,34,25,3.5,8,9,34.1,8.1,34.2,3.2,4,34.3,,,10,
25/11/11,Gloucester Pk,4,5.5,7.5,6,6.1,5.51,7,999,13,21,13.1,51,11,,4,
25/11/11,Gloucester Pk,6,5.5,21,6.5,12,21.1,16,999,11,21.2,12.1,3.8,5.51,,12,
